"Symbol","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster"
"Parp2",0.865532167101119,0.939423120950303,0.858497399211524,1
"Sypl",0.625929288428945,0.753282267705798,0.613497826250517,1
"Ddx60",-0.195677937563647,0.988620490065328,-0.309872719775494,1
"Otop1",-0.0436321501024559,0.169332428845944,-0.0641785218323939,1
"Lta.1",0.83414411515163,0.976600298535136,0.828114546702984,1
"Tmem106a",0.388209830710523,0.946660993818653,0.364235673583008,1
"Alg9.1",0.836777726243632,0.974066811657546,0.830872055476112,1
"D14Ertd668e.1",0.333325719348529,0.974409334842316,0.304703705234022,1
"Ssr4",0.377876832498889,0.8902556739117,0.355510255640281,1
"Trim34.1",0.174664976825571,0.924215682628496,0.141982252008599,1
"Immt",0.744154659509735,0.927518501143447,0.735147208071777,1
"Gorasp1",0.0219684391097526,0.749624502684948,-0.0135040534859594,1
"Aldh3a1",0.0536535208625197,0.3137877586514,0.0410189743190055,1
"Nqo2.2",-0.00652763375640576,0.977536639774433,-0.0542365272989873,1
"Gipc1.2",0.76522477788023,0.889907427344994,0.759427102103168,1
"Usp18.1",-0.10901715099477,0.937764659441317,-0.157017888863216,1
"Mbnl1.1",0.928955971096203,0.988045007112508,0.926240566050602,1
"Sdcbp2",0.732859401258129,0.991195669034347,0.719709104770005,1
"E430004N04Rik",0.933016666940715,0.976987057835111,0.930747843450704,1
"Ankle2.2",0.812887816206146,0.961146709592669,0.805036820025413,1
"B930007M17Rik",-0.0520474992820548,0.495395253669447,-0.0814287577211451,1
"Jmjd1a.2",0.82633345680055,0.908178187663153,0.821929963703982,1
"4933439C20Rik",0.827163296613415,0.980312681732905,0.818770983689634,1
"H2-D1",0.912875854733326,0.98529481947797,0.90890720250454,1
"Tars2",0.375030785424012,0.774657077901419,0.352841980549955,1
"2610208M17Rik.2",0.771971300507497,0.796565427934998,0.770592924398211,1
"Ldoc1l",0.705846938351853,0.951303299876104,0.691928441959212,1
"OTTMUSG00000005737",-0.0234173551587788,0.904240733949895,-0.0759706062250358,1
"Ctnna1",0.912511905012011,0.967157991122854,0.909372326918805,1
"Sh3bp5",0.318650733782009,0.630746874767144,0.300834361370202,1
"Wars.3",0.632651559254579,0.868672328727454,0.618911805563608,1
"Fyb",0.897267035145358,0.960831094211295,0.893569225023479,1
"Art4",0.760034929605791,0.99567259836207,0.746103552712234,1
"Trim44.1",0.924060963535602,0.930853701688883,0.923661874574008,1
"Mrpl44",0.757466147241316,0.954963723068357,0.743976515091607,1
"Dbi.1",0.946597281013811,0.987533040638999,0.94378194463388,1
"Myst4.1",0.702666180983491,0.971080953664065,0.684198873639196,1
"9630058J23Rik",0.785533250652887,0.973447115561651,0.772301142878299,1
"Lgals3bp",-0.31579463830816,0.90273077887959,-0.403225966680106,1
"Rasgrp4.1",0.789246649214904,0.962229175057168,0.776784313119806,1
