"annot","gene","celltype"
3,"Tmem42","Th0"
2,"Prdm16","Th0"
3,"Polr3e","Th0"
2,"St3gal4","Th0"
3,"Ttc19","Th0"
2,"Selplg","Th0"
1,"4933439C20Rik","Th0"
2,"Mrpl54","Th0"
3,"Ndufa12","Th0"
2,"Pkn1","Th0"
2,"Hspa2","Th0"
2,"Snx25","Th0"
3,"Mettl1","Th0"
1,"Akna","Th0"
1,"Cd55","Th0"
3,"Adarb1","Th0"
3,"Mrps18a","Th0"
2,"Anp32a","Th0"
1,"Cdipt","Th0"
2,"Arhgdib","Th0"
2,"5430432M24Rik","Th0"
2,"Pip5k1b","Th0"
2,"H2afx","Th0"
2,"Suv39h1","Th0"
1,"Rasgrp2","Th0"
2,"Arfgap3","Th0"
3,"Atf3","Th0"
1,"Clec2i","Th0"
2,"Slc16a3","Th0"
3,"Mybbp1a","Th0"
2,"Kcnk10","Th0"
1,"2510002D24Rik","Th0"
3,"Ndor1","Th0"
2,"Eno2","Th0"
3,"1700029G01Rik","Th0"
2,"Vapa","Th0"
1,"Rab3ip","Th0"
1,"Numa1","Th0"
3,"Rg9mtd2","Th0"
2,"Apobec1","Th0"
3,"Mettl3","Th0"
3,"Tgif2","Th0"
2,"Nap1l1","Th0"
1,"Uros","Th0"
1,"Mbd1","Th0"
2,"Hist1h2ai","Th0"
3,"1110007M04Rik","Th0"
2,"Arrb2","Th0"
3,"Uxt","Th0"
1,"BC029214","Th0"
3,"Mdh2","Th0"
2,"Hist2h2aa2","Th0"
3,"Frmd6","Th0"
2,"Rmnd1","Th0"
2,"Spint2","Th0"
2,"Sp100","Th0"
2,"Spp1","Th0"
2,"Chek1","Th0"
1,"Atg4d","Th0"
1,"Angel2","Th0"
2,"Ap2s1","Th0"
2,"1700027N10Rik","Th0"
1,"Fbxo33","Th0"
1,"Dusp2","Th0"
2,"Slc35d3","Th0"
2,"Dek","Th0"
2,"Smc3","Th0"
2,"Hist1h3e","Th0"
2,"Ckap5","Th0"
2,"Idh1","Th0"
2,"Anln","Th0"
3,"Ccl1","Th0"
3,"Cd3eap","Th0"
2,"Prim2","Th0"
2,"Grhpr","Th0"
1,"S100a8","Th0"
1,"Ctso","Th0"
2,"Dock6","Th0"
2,"Rnf26","Th0"
2,"Creb3l2","Th0"
2,"Uhrf1bp1","Th0"
2,"EG245297","Th0"
2,"Bhlhb2","Th0"
3,"Xpot","Th0"
3,"Utp15","Th0"
1,"Ugcg","Th0"
2,"Gars","Th0"
1,"Mxra8","Th0"
2,"Tpd52","Th0"
2,"1110005A23Rik","Th0"
1,"Srf","Th0"
2,"Ralb","Th0"
3,"Fcf1","Th0"
2,"Srp72","Th0"
3,"Exosc1","Th0"
2,"Map2k6","Th0"
2,"Nupr1","Th0"
2,"Birc5","Th0"
1,"Arid3b","Th0"
2,"Bcl2l1","Th0"
3,"Lrrc1","Th0"
1,"BC021381","Th0"
3,"3110082I17Rik","Th0"
2,"Entpd5","Th0"
2,"Chtf18","Th0"
3,"Nr1d2","Th0"
3,"E2f5","Th0"
1,"Frat1","Th0"
2,"Asns","Th0"
2,"Ndufb2","Th0"
2,"Stxbp1","Th0"
1,"Fcrla","Th0"
1,"Cecr5","Th0"
2,"Cox7a2l","Th0"
2,"Hist1h2bn","Th0"
3,"Il10","Th0"
2,"2610020H08Rik","Th0"
1,"Ppp1r9b","Th0"
2,"Ezh2","Th0"
3,"Ptges3","Th0"
3,"Erh","Th0"
1,"B230339M05Rik","Th0"
2,"Pkn3","Th0"
3,"Fbxl10","Th0"
1,"Tnfrsf14","Th0"
3,"Tnfrsf9","Th0"
2,"2310056P07Rik","Th0"
2,"Il4","Th0"
2,"Stra6","Th0"
3,"Eif3s10","Th0"
3,"Mllt1","Th0"
3,"Ahi1","Th0"
1,"Tnfaip8l2","Th0"
2,"1700019D03Rik","Th0"
2,"Kif24","Th0"
2,"Gpt2","Th0"
2,"Asf1b","Th0"
2,"Arrdc1","Th0"
2,"Parp12","Th0"
2,"6720463M24Rik","Th0"
2,"Plscr1","Th0"
2,"Phf11","Th0"
3,"Abce1","Th0"
2,"Arbp","Th0"
3,"Cse1l","Th0"
1,"Ssbp3","Th0"
2,"Dguok","Th0"
3,"Akr1b3","Th0"
3,"Orai1","Th0"
2,"Fkbp1a","Th0"
2,"Cd70","Th0"
2,"Rpa1","Th0"
1,"Cpne4","Th0"
2,"Gbp2","Th0"
1,"BC050811","Th0"
2,"Hnrpll","Th0"
1,"Smap2","Th0"
3,"Pdap1","Th0"
3,"Shq1","Th0"
2,"Kntc1","Th0"
2,"Uap1l1","Th0"
1,"BC038156","Th0"
2,"Mad2l1","Th0"
1,"Zfand3","Th0"
1,"Cdo1","Th0"
1,"F2rl1","Th0"
3,"Pop7","Th0"
2,"Hist1h4d","Th0"
2,"Prkar1b","Th0"
2,"Nrm","Th0"
2,"Bex4","Th0"
2,"Lama5","Th0"
3,"Hnrpd","Th0"
3,"Bola3","Th0"
2,"St6gal1","Th0"
3,"Rnf219","Th0"
3,"Rars","Th0"
3,"Psmd14","Th0"
3,"BC020002","Th0"
3,"Tnfsf8","Th0"
3,"Rab8b","Th0"
3,"Hectd2","Th0"
2,"Dscr2","Th0"
2,"Ptpn9","Th0"
2,"B230380D07Rik","Th0"
3,"Nup160","Th0"
2,"Rab19","Th0"
3,"Ppp5c","Th0"
2,"Hist4h4","Th0"
3,"Nudt19","Th0"
1,"Axin2","Th0"
1,"Prdm2","Th0"
1,"Armc3","Th0"
2,"Phf10","Th0"
1,"Ccdc88c","Th0"
1,"Adamts10","Th0"
3,"Dnajc15","Th0"
1,"Metapl1","Th0"
2,"Usp1","Th0"
1,"Spic","Th0"
3,"Icam1","Th0"
3,"Tomm70a","Th0"
1,"Ahdc1","Th0"
2,"Rdbp","Th0"
2,"Ntrk3","Th0"
1,"Ankrd12","Th0"
3,"Mrps12","Th0"
2,"Acadsb","Th0"
