annot,gene,celltype,annot_new
2,Rxra,Th0,2
2,Tceal8,Th0,2
3,Gmfg,Th0,3
1,Hsd17b7,Th0,1
3,AI662250,Th0,3
1,Tmem42,Th0,1
2,Prdm16,Th0,2
1,Polr3e,Th0,1
2,St3gal4,Th0,2
1,Ttc19,Th0,1
2,Selplg,Th0,2
3,4933439C20Rik,Th0,3
2,Mrpl54,Th0,2
1,Ndufa12,Th0,1
2,Pkn1,Th0,2
2,Hspa2,Th0,2
2,Snx25,Th0,2
1,Mettl1,Th0,1
3,Akna,Th0,3
3,Cd55,Th0,3
1,Adarb1,Th0,1
1,Mrps18a,Th0,1
2,Anp32a,Th0,2
3,Cdipt,Th0,3
2,Arhgdib,Th0,2
2,5430432M24Rik,Th0,2
2,Pip5k1b,Th0,2
2,H2afx,Th0,2
2,Suv39h1,Th0,2
3,Rasgrp2,Th0,3
2,Arfgap3,Th0,2
1,Atf3,Th0,1
3,Clec2i,Th0,3
2,Slc16a3,Th0,2
1,Mybbp1a,Th0,1
2,Kcnk10,Th0,2
3,2510002D24Rik,Th0,3
1,Ndor1,Th0,1
2,Eno2,Th0,2
1,1700029G01Rik,Th0,1
2,Vapa,Th0,2
3,Rab3ip,Th0,3
3,Numa1,Th0,3
1,Rg9mtd2,Th0,1
2,Apobec1,Th0,2
1,Mettl3,Th0,1
1,Tgif2,Th0,1
2,Nap1l1,Th0,2
3,Uros,Th0,3
3,Mbd1,Th0,3
2,Hist1h2ai,Th0,2
1,1110007M04Rik,Th0,1
2,Arrb2,Th0,2
1,Uxt,Th0,1
3,BC029214,Th0,3
1,Mdh2,Th0,1
2,Hist2h2aa2,Th0,2
1,Frmd6,Th0,1
2,Rmnd1,Th0,2
2,Spint2,Th0,2
2,Sp100,Th0,2
2,Spp1,Th0,2
2,Chek1,Th0,2
3,Atg4d,Th0,3
3,Angel2,Th0,3
2,Ap2s1,Th0,2
2,1700027N10Rik,Th0,2
3,Fbxo33,Th0,3
3,Dusp2,Th0,3
2,Slc35d3,Th0,2
2,Dek,Th0,2
2,Smc3,Th0,2
2,Hist1h3e,Th0,2
2,Ckap5,Th0,2
2,Idh1,Th0,2
2,Anln,Th0,2
1,Ccl1,Th0,1
1,Cd3eap,Th0,1
2,Prim2,Th0,2
2,Grhpr,Th0,2
3,S100a8,Th0,3
3,Ctso,Th0,3
2,Dock6,Th0,2
2,Rnf26,Th0,2
2,Creb3l2,Th0,2
2,Uhrf1bp1,Th0,2
2,EG245297,Th0,2
2,Bhlhb2,Th0,2
1,Xpot,Th0,1
1,Utp15,Th0,1
3,Ugcg,Th0,3
2,Gars,Th0,2
3,Mxra8,Th0,3
2,Tpd52,Th0,2
2,1110005A23Rik,Th0,2
3,Srf,Th0,3
2,Ralb,Th0,2
1,Fcf1,Th0,1
2,Srp72,Th0,2
1,Exosc1,Th0,1
2,Map2k6,Th0,2
2,Nupr1,Th0,2
2,Birc5,Th0,2
3,Arid3b,Th0,3
2,Bcl2l1,Th0,2
1,Lrrc1,Th0,1
3,BC021381,Th0,3
1,3110082I17Rik,Th0,1
2,Entpd5,Th0,2
2,Chtf18,Th0,2
1,Nr1d2,Th0,1
1,E2f5,Th0,1
3,Frat1,Th0,3
2,Asns,Th0,2
2,Ndufb2,Th0,2
2,Stxbp1,Th0,2
3,Fcrla,Th0,3
3,Cecr5,Th0,3
2,Cox7a2l,Th0,2
2,Hist1h2bn,Th0,2
1,Il10,Th0,1
2,2610020H08Rik,Th0,2
3,Ppp1r9b,Th0,3
2,Ezh2,Th0,2
1,Ptges3,Th0,1
1,Erh,Th0,1
3,B230339M05Rik,Th0,3
2,Pkn3,Th0,2
1,Fbxl10,Th0,1
3,Tnfrsf14,Th0,3
1,Tnfrsf9,Th0,1
2,2310056P07Rik,Th0,2
2,Il4,Th0,2
2,Stra6,Th0,2
1,Eif3s10,Th0,1
1,Mllt1,Th0,1
1,Ahi1,Th0,1
3,Tnfaip8l2,Th0,3
2,1700019D03Rik,Th0,2
2,Kif24,Th0,2
2,Gpt2,Th0,2
2,Asf1b,Th0,2
2,Arrdc1,Th0,2
2,Parp12,Th0,2
2,6720463M24Rik,Th0,2
2,Plscr1,Th0,2
2,Phf11,Th0,2
1,Abce1,Th0,1
2,Arbp,Th0,2
1,Cse1l,Th0,1
3,Ssbp3,Th0,3
2,Dguok,Th0,2
1,Akr1b3,Th0,1
1,Orai1,Th0,1
2,Fkbp1a,Th0,2
2,Cd70,Th0,2
2,Rpa1,Th0,2
3,Cpne4,Th0,3
2,Gbp2,Th0,2
3,BC050811,Th0,3
2,Hnrpll,Th0,2
3,Smap2,Th0,3
1,Pdap1,Th0,1
1,Shq1,Th0,1
2,Kntc1,Th0,2
2,Uap1l1,Th0,2
3,BC038156,Th0,3
2,Mad2l1,Th0,2
3,Zfand3,Th0,3
3,Cdo1,Th0,3
3,F2rl1,Th0,3
1,Pop7,Th0,1
2,Hist1h4d,Th0,2
2,Prkar1b,Th0,2
2,Nrm,Th0,2
2,Bex4,Th0,2
2,Lama5,Th0,2
1,Hnrpd,Th0,1
1,Bola3,Th0,1
2,St6gal1,Th0,2
1,Rnf219,Th0,1
1,Rars,Th0,1
1,Psmd14,Th0,1
1,BC020002,Th0,1
1,Tnfsf8,Th0,1
1,Rab8b,Th0,1
1,Hectd2,Th0,1
2,Dscr2,Th0,2
2,Ptpn9,Th0,2
2,B230380D07Rik,Th0,2
1,Nup160,Th0,1
2,Rab19,Th0,2
1,Ppp5c,Th0,1
2,Hist4h4,Th0,2
1,Nudt19,Th0,1
3,Axin2,Th0,3
3,Prdm2,Th0,3
3,Armc3,Th0,3
2,Phf10,Th0,2
3,Ccdc88c,Th0,3
3,Adamts10,Th0,3
1,Dnajc15,Th0,1
3,Metapl1,Th0,3
2,Usp1,Th0,2
3,Spic,Th0,3
1,Icam1,Th0,1
1,Tomm70a,Th0,1
3,Ahdc1,Th0,3
2,Rdbp,Th0,2
2,Ntrk3,Th0,2
3,Ankrd12,Th0,3
1,Mrps12,Th0,1
2,Acadsb,Th0,2
1,Fjx1,Th0,1
3,D030074E01Rik,Th0,3
2,Ndrg2,Th0,2
3,Akap8l,Th0,3
1,Nola2,Th0,1
2,H1fx,Th0,2
2,Tmem121,Th0,2
3,Sort1,Th0,3
2,6430571L13Rik,Th0,2
2,Sdc4,Th0,2
3,Ccbl1,Th0,3
2,Rab3d,Th0,2
1,Pwp2,Th0,1
3,Ars2,Th0,3
3,Sema4f,Th0,3
3,Mycbp2,Th0,3
2,Rnf213,Th0,2
3,Edg6,Th0,3
3,Mll3,Th0,3
3,Wbp7,Th0,3
2,Gtse1,Th0,2
2,LOC626578,Th0,2
2,Thap4,Th0,2
2,Blmh,Th0,2
2,Nusap1,Th0,2
2,Ddit3,Th0,2
1,Stip1,Th0,1
3,Golga5,Th0,3
1,Heatr1,Th0,1
1,Nol8,Th0,1
2,Gstp1,Th0,2
3,Rapgef1,Th0,3
3,Chd7,Th0,3
1,Pla2g12a,Th0,1
1,BC026590,Th0,1
3,Foxk1,Th0,3
1,Ppan,Th0,1
1,Ch25h,Th0,1
2,Prkcbp1,Th0,2
1,Ide,Th0,1
2,D10Bwg1379e,Th0,2
3,Hcst,Th0,3
2,Pcgf1,Th0,2
1,Acy1,Th0,1
1,Armc6,Th0,1
1,Cd82,Th0,1
1,Msi2,Th0,1
2,Gnb2l1,Th0,2
2,Hus1,Th0,2
3,Ctsw,Th0,3
1,Bxdc1,Th0,1
3,Oma1,Th0,3
2,Dapl1,Th0,2
1,Eif4g2,Th0,1
3,D16H22S680E,Th0,3
3,Ski,Th0,3
2,Tlr7,Th0,2
2,Mtmr3,Th0,2
1,Cd160,Th0,1
2,Socs3,Th0,2
1,Ripk4,Th0,1
2,Dscr1l2,Th0,2
2,Vars,Th0,2
1,Ccnd2,Th0,1
1,2610029G23Rik,Th0,1
1,Mat2a,Th0,1
1,C130032J12Rik,Th0,1
1,Exosc2,Th0,1
2,Hap1,Th0,2
2,Foxm1,Th0,2
2,Usp18,Th0,2
2,Sgol1,Th0,2
2,Slc39a6,Th0,2
2,Ampd3,Th0,2
2,Lancl1,Th0,2
3,Ly9,Th0,3
3,Slc14a1,Th0,3
1,Rpl7l1,Th0,1
2,Slc39a8,Th0,2
1,Ifrd1,Th0,1
2,Smox,Th0,2
3,Il7r,Th0,3
1,Trub1,Th0,1
2,Nckap1,Th0,2
1,Polr2h,Th0,1
2,Atxn7l1,Th0,2
2,Ccna2,Th0,2
3,Crlf3,Th0,3
2,Copg2,Th0,2
2,Snrpa,Th0,2
2,Dtl,Th0,2
2,Eef2,Th0,2
3,Cd8b1,Th0,3
2,Zbp1,Th0,2
2,Vim,Th0,2
3,Usp52,Th0,3
2,Ly6a,Th0,2
2,Susd3,Th0,2
2,BC094916,Th0,2
2,Cenpn,Th0,2
2,Sh3kbp1,Th0,2
1,Guk1,Th0,1
2,Trpv2,Th0,2
1,Pou2af1,Th0,1
2,Gbp3,Th0,2
2,Snx3,Th0,2
2,Aldoa,Th0,2
2,Slc35d2,Th0,2
3,AI646023,Th0,3
1,Il21,Th0,1
2,Tmem180,Th0,2
3,Lgmn,Th0,3
2,Ccl5,Th0,2
2,Gja1,Th0,2
1,LOC667250,Th0,1
2,Angptl4,Th0,2
3,Itpr1,Th0,3
2,Ecm1,Th0,2
2,Paip2,Th0,2
2,Ufsp2,Th0,2
2,6430706D22Rik,Th0,2
3,Zdhhc14,Th0,3
2,Skp2,Th0,2
3,Gga3,Th0,3
2,Guca1a,Th0,2
3,Sppl3,Th0,3
2,Sec61b,Th0,2
1,Nhlrc1,Th0,1
3,Hsd3b2,Th0,3
1,Nr6a1,Th0,1
3,LOC56628,Th0,3
2,5730419I09Rik,Th0,2
3,Pnpla7,Th0,3
2,Dnalc1,Th0,2
2,Dynlt3,Th0,2
3,Atp8b4,Th0,3
2,Prickle3,Th0,2
2,Hist1h3a,Th0,2
2,2310007D09Rik,Th0,2
2,Ankrd37,Th0,2
3,Pank4,Th0,3
3,Tmed1,Th0,3
1,Mrps10,Th0,1
2,Pold2,Th0,2
1,Fasl,Th0,1
2,Rnpep,Th0,2
2,Ghitm,Th0,2
2,7530404M11Rik,Th0,2
2,Itgb5,Th0,2
3,Rgs10,Th0,3
2,Hist1h4b,Th0,2
