"gene","celltype","annot"
"Slc35d3","Th0",2
"Pik3r1","Th0",3
"Dek","Th0",2
"Smc3.1","Th0",2
"Hist1h3e","Th0",2
"Ckap5","Th0",2
"Casp8","Th0",3
"Irf1","Th0",3
"Idh1","Th0",2
"Gusb","Th0",1
"Anln","Th0",2
"Ccl1","Th0",1
"Cd3eap","Th0",1
"Prim2","Th0",2
"Grhpr","Th0",2
"S100a8","Th0",3
"Hspa9","Th0",1
"Ctso","Th0",3
"Dock6","Th0",2
"Rnf26","Th0",2
"Creb3l2","Th0",2
"Uhrf1bp1","Th0",2
"EG245297","Th0",2
"Syf2","Th0",3
"Bhlhb2","Th0",2
"Xpot","Th0",1
"Tbx6","Th0",3
"Utp15","Th0",1
"Ugcg","Th0",3
"Ddit3","Th0",2
"Gars","Th0",1
"Exosc6","Th0",1
"Mxra8","Th0",3
"Tpd52","Th0",2
"1110005A23Rik","Th0",2
"0610007P14Rik","Th0",2
"Srf","Th0",3
"Ralb","Th0",2
"Cryz.1","Th0",2
"Fcf1","Th0",2
"Srp72","Th0",2
"LOC547323","Th0",3
"Syngr1.1","Th0",2
"Syngr2.1","Th0",2
"Exosc1","Th0",1
"Pfkm","Th0",2
"Map2k6","Th0",3
"Il6ra.1","Th0",3
"Nupr1","Th0",2
"Birc5","Th0",2
"Arid3b","Th0",3
"P2ry14","Th0",3
"Ptger2","Th0",2
"Bcl2l1","Th0",1
"Lrrc1","Th0",3
"BC021381","Th0",3
"Wbp1","Th0",3
"Ccr5","Th0",3
"3110082I17Rik","Th0",1
"Entpd5","Th0",3
"Chtf18","Th0",2
"Nr1d2","Th0",1
"E2f5","Th0",1
"Frat1","Th0",3
"Asns.1","Th0",2
"Nde1.1","Th0",2
"Ndufb2","Th0",2
"Stxbp1.1","Th0",2
"Kcnmb4","Th0",3
"Fcrla.1","Th0",3
"Cecr5","Th0",3
"Mllt4","Th0",2
"Cox7a2l","Th0",3
"Pcsk4.1","Th0",2
"Hist1h2bn","Th0",2
"Il10","Th0",1
"2610020H08Rik","Th0",3
"Scotin.1","Th0",3
"Ogt.1","Th0",3
"Traf4","Th0",1
"Ppp1r9b","Th0",3
"Tada2l","Th0",1
"Ezh2.1","Th0",2
"Ptges3","Th0",1
"Erh","Th0",1
"B230339M05Rik.1","Th0",3
"Eprs","Th0",2
"Zhx1.1","Th0",2
"Pkn3","Th0",2
"Fbxl10.1","Th0",1
"Tnfrsf14","Th0",3
"Tnfrsf9.1","Th0",1
"2310056P07Rik","Th0",2
"Il4","Th0",2
"Stra6","Th0",2
"Eif3s10","Th0",1
"Mllt1.2","Th0",1
"Ahi1","Th0",1
"Tnfaip8l2.1","Th0",3
"1700019D03Rik","Th0",2
"Kif24.1","Th0",2
"Gpt2","Th0",2
"Asf1b","Th0",2
"Arrdc1","Th0",3
"Parp12","Th0",2
"6720463M24Rik","Th0",2
"Unc13d","Th0",2
"Nusap1","Th0",2
"Plscr1","Th0",2
"Phf11","Th0",2
"Abce1","Th0",1
"Arbp","Th0",2
"Cse1l","Th0",1
"Ssbp3","Th0",3
"Dguok","Th0",2
"Akr1b3","Th0",1
"Orai1","Th0",1
"Fkbp1a","Th0",2
"Cd70","Th0",2
"Rpa1","Th0",2
"Ryk","Th0",2
"Uchl5","Th0",1
"Cpne4","Th0",3
"Gbp2","Th0",2
"BC050811.1","Th0",3
"Pik3r3","Th0",3
"Hnrpll","Th0",1
"Sypl","Th0",1
"Mxd4","Th0",3
"Rbm13","Th0",1
"Smap2","Th0",3
"Usp1.1","Th0",2
"AA408296","Th0",1
"Pdap1","Th0",1
"Shq1","Th0",1
"Smpd1.1","Th0",2
"Kntc1","Th0",2
"Uap1l1","Th0",2
"BC038156","Th0",3
"Mad2l1","Th0",2
"Ccng1","Th0",2
"Zfand3","Th0",3
"Cdo1","Th0",3
"Pkn2.1","Th0",1
"F2rl1","Th0",3
"Pop7","Th0",1
"Hist1h4d","Th0",2
"Rbm38.1","Th0",3
"Umps","Th0",1
"Prkar1b","Th0",2
"Nrm","Th0",2
"Bex4","Th0",2
"Lama5","Th0",2
"4831426I19Rik.1","Th0",2
"Hnrpd","Th0",1
"Bola3","Th0",1
"St6gal1","Th0",2
"Rnf219","Th0",2
"Fnip1","Th0",2
"Rars","Th0",1
"Ldhd","Th0",3
"Psmd14","Th0",1
"Galnt10","Th0",3
"BC020002","Th0",1
"Tnfsf8","Th0",1
"Rab8b.1","Th0",1
"Tnrc6b","Th0",3
"Hectd2.1","Th0",1
"H2-Ab1","Th0",3
"Dscr2","Th0",2
"Ptpn9","Th0",2
"B230380D07Rik","Th0",2
"Nup160","Th0",1
"Zfp473","Th0",2
"Rab19","Th0",2
"Ppp5c","Th0",1
"Hist4h4","Th0",2
"Lrpprc","Th0",1
"Nudt19","Th0",1
"Copz2.2","Th0",2
"Axin2","Th0",3
"Prdm2","Th0",3
"Armc3","Th0",3
"Phf10.1","Th0",2
"Ccdc88c.1","Th0",3
"Adamts10","Th0",3
"Kctd17","Th0",2
"Dnajc15","Th0",1
"Metapl1","Th0",3
