"gene","Th1","Th2","category","model"
"Fbxl12.2",0.145749115764301,0.726157853688841,"Th2like","Th1/2"
"Fbxo2",0.0992380804825031,0.696646008266128,"Ind","Th1/2"
"Fbxo44",-0.0447509703665147,1.04528517835735,"Th2like","Th1/2"
"Fcer2a",0.849812549462246,0.540913710264158,"Ind","Th1/2"
"Fcrls",-0.573330279450733,1.51236930453576,"Th2like","Th1/2"
"Fes",0.68204268952695,0.464220289539127,"Th1like","Th1/2"
"Ffar2",1.18671939857406,0.165859527561383,"Th1like","Th1/2"
"Fgf2",0.867593800164198,0.1604855736347,"Ind","Th1/2"
"Fgl2",0.242907216793994,-0.768159126870669,"Ind","Th1/2"
"Fhit",0.0182897107722341,0.722402196474536,"Th2like","Th1/2"
"Fhl2",0.0484954135747441,0.411190648522102,"Th2like","Th1/2"
"Flot2.1",0.140240916346476,0.574401779347176,"Th2like","Th1/2"
"Flot2.2",0.345282895914253,0.463702042955519,"Th2like","Th1/2"
"Fmnl3.1",0.297905039302494,0.82631634057002,"Th2like","Th1/2"
"Fmnl3.2",0.188538807870861,0.915108875593599,"Th2like","Th1/2"
"Folr4",0.493496859527938,0.527845229087665,"Th2like","Th1/2"
"Folr4.1",-0.00250120895019372,0.790871451717742,"Ind","Th1/2"
"Folr4.2",0.425210414444854,0.623584710893709,"Superpos","Th1/2"
"Fos",0.308893038339125,0.575295439259847,"Th2like","Th1/2"
"Foxp1",-0.079712717628415,1.01178770201044,"Th2like","Th1/2"
"Foxp3",0.0744679211904087,0.888129331572838,"Th2like","Th1/2"
"Foxq1",-0.0662959672857251,0.847028742417527,"Th2like","Th1/2"
"Fscn1",-0.0540003062740801,1.04098199925544,"Th2like","Th1/2"
"Furin",0.423808727440333,0.732055040118155,"Superpos","Th1/2"
"Furin.2",0.588471983381769,0.541009321200897,"Superpos","Th1/2"
"Fut4",0.41074827293688,0.568523027174352,"Th2like","Th1/2"
"Fut7",0.303907427182461,0.142309407927733,"Ind","Th1/2"
"Fzd7",-0.360261219791444,1.15217488244295,"Th2like","Th1/2"
"Galnt11",0.263656564789736,0.794779762368863,"Th2like","Th1/2"
"Gart.1",0.415973016005861,0.549055588402505,"Ind","Th1/2"
"Gas2l3",0.232240246972196,0.666458226626843,"Th2like","Th1/2"
"Gata3",0.260255683923821,0.898437983454132,"Th2like","Th1/2"
"Gbp1",0.543598098731487,0.827744798679414,"Th2like","Th1/2"
"Gbp3.1",0.609581198968929,0.591146532877359,"Superpos","Th1/2"
"Gbp5",0.397895436125573,0.946605003481528,"Superpos","Th1/2"
"Gbp5.1",0.176843630955676,1.03999519309364,"Ind","Th1/2"
"Gbp6",0.238024260464442,0.788647446141543,"Th2like","Th1/2"
"Gbp6.1",0.118268388340563,0.696468791766425,"Th2like","Th1/2"
"Gemin6",0.194490543428978,0.643017390772667,"Ind","Th1/2"
"Gemin6.2",0.0692940391119955,0.759986306851182,"Ind","Th1/2"
"Ggt7",-0.0510450400464118,0.661085028193686,"Th2like","Th1/2"
"Gldc",-0.131980736677711,1.55811013370449,"Th2like","Th1/2"
"Glipr2.1",0.291231839774808,0.882923770562823,"Th2like","Th1/2"
"Glipr2.2",0.424335928255763,0.786056099136892,"Superpos","Th1/2"
"Gm50",-0.00568703333417304,0.88569598070447,"Ind","Th1/2"
"Gm885",0.315450527204916,0.418230279893437,"Ind","Th1/2"
"Gm885.1",-0.18845593322017,0.733864896985713,"Th2like","Th1/2"
"Gnaq",0.332191590954861,1.17910035509319,"Th2like","Th1/2"
"Gnaq.2",0.597978481964959,0.700192765118407,"Superpos","Th1/2"
"Gnaz",0.720586188043003,0.417961972762128,"Ind","Th1/2"
"Gnb5",-0.248354813523036,1.12544082134466,"Ind","Th1/2"
"Gng2",0.489846653814619,0.55974368814686,"Th2like","Th1/2"
"Gnpda1",0.38839846691384,0.599246873106664,"Th2like","Th1/2"
"Gnpda1.1",0.652138986429038,0.751308296295317,"Th2like","Th1/2"
"Gpld1",0.485214061957502,0.599360274532028,"Th2like","Th1/2"
"Gpld1.1",0.36180846609161,0.632643572445344,"Th2like","Th1/2"
"Gpr114",0.22717457842809,0.753413063498817,"Superpos","Th1/2"
"Gpr65",0.0824267518463649,0.96021362664033,"Th2like","Th1/2"
"Gpr83",0.615171107120134,0.310669740379292,"Superpos","Th1/2"
"Gpsm2.1",0.18822674482032,0.670257775157474,"Ind","Th1/2"
"Gramd3.1",0.632862266845134,0.518731263833351,"Th2like","Th1/2"
"Gsdmdc1.1",0.0693860950651565,0.73588428024687,"Th2like","Th1/2"
"Gsdmdc1.2",0.089692957790662,0.871865331337603,"Th2like","Th1/2"
"Gspt2",0.231970710908025,0.641918475287917,"Ind","Th1/2"
"Gstk1",0.150213538404041,0.910574065144714,"Th2like","Th1/2"
"Gstk1.1",0.143352196591696,0.929736282465639,"Th2like","Th1/2"
"Gstt3",0.295607433055334,0.564352181022999,"Ind","Th1/2"
"Guca1a",0.366700615287834,0.682948171658878,"Ind","Th1/2"
"Gvin1",0.152369325376367,0.454162741114788,"Th2like","Th1/2"
"Gypc",-0.209162515524069,1.33208162534471,"Th2like","Th1/2"
"H1f0",-0.34492255316993,1.19727440580333,"Th2like","Th1/2"
"H1fx",0.116402882287606,0.538849210332756,"Ind","Th1/2"
"H2-D1",0.615679003038007,0.21873018302634,"Ind","Th1/2"
"H2-D1.1",0.472578346132308,0.368171809975862,"Ind","Th1/2"
"H2-D1.2",0.613957098548443,0.37413925620121,"Ind","Th1/2"
"H2-DMa",0.471218665361992,0.583004790571836,"Th2like","Th1/2"
"H2-DMa.1",0.267053283371897,0.857076284811879,"Th2like","Th1/2"
"H2-DMb1",0.610808341449416,0.411189929400893,"Ind","Th1/2"
"H2-DMb2",0.806117566536179,0.0821677828439573,"Ind","Th1/2"
"H2-DMb2.1",0.806830685261249,0.130724536244488,"Ind","Th1/2"
"H2-Ea",0.472459421739304,0.525613341337397,"Ind","Th1/2"
"H2-K1",1.2660951752318,-0.210536913706042,"Ind","Th1/2"
