"ftest","pvalue","gene","model"
"Th1vsMixed",0.0375613505604831,"Id2.1","Th1/2"
"Th2vsMixed",0.0522943670601352,"Id2.1","Th1/2"
"Th1vsMixed",0.438102757514657,"Ifi202b","Th1/2"
"Th2vsMixed",0.0481397465235019,"Ifi202b","Th1/2"
"Th1vsMixed",0.763816603353934,"Ifi202b.1","Th1/2"
"Th2vsMixed",0.792971822831649,"Ifi202b.1","Th1/2"
"Th1vsMixed",0.0204221904266015,"Ifi203","Th1/2"
"Th2vsMixed",0.383159305964165,"Ifi203","Th1/2"
"Th1vsMixed",0.0842840636092057,"Ifi35","Th1/2"
"Th2vsMixed",0.780786175777208,"Ifi35","Th1/2"
"Th1vsMixed",0.717009069121214,"Ifih1","Th1/2"
"Th2vsMixed",0.753683314131148,"Ifih1","Th1/2"
"Th1vsMixed",0.000860818333545285,"Ifit2","Th1/2"
"Th2vsMixed",0.0672267635464506,"Ifit2","Th1/2"
"Th1vsMixed",7.89582998315412e-05,"Ifit2.1","Th1/2"
"Th2vsMixed",0.987499888357253,"Ifit2.1","Th1/2"
"Th1vsMixed",0.00055102984143165,"Ifit3","Th1/2"
"Th2vsMixed",0.0654732504157955,"Ifit3","Th1/2"
"Th1vsMixed",0.000111921237164744,"Ifit3.1","Th1/2"
"Th2vsMixed",0.0573583921362229,"Ifit3.1","Th1/2"
"Th1vsMixed",0.0248939673493116,"Ifitm3","Th1/2"
"Th2vsMixed",0.000252010391719671,"Ifitm3","Th1/2"
"Th1vsMixed",3.58999007372286e-05,"Ifng","Th1/2"
"Th2vsMixed",0.00111576357089606,"Ifng","Th1/2"
"Th1vsMixed",0.000123050081582836,"Ifng.1","Th1/2"
"Th2vsMixed",0.00200090064437401,"Ifng.1","Th1/2"
"Th1vsMixed",0.404410656944314,"Igfbp7.1","Th1/2"
"Th2vsMixed",0.735427258489509,"Igfbp7.1","Th1/2"
"Th1vsMixed",0.481814655931441,"Igtp","Th1/2"
"Th2vsMixed",0.297642889005617,"Igtp","Th1/2"
"Th1vsMixed",0.160873873735392,"Iigp2","Th1/2"
"Th2vsMixed",0.166155268446544,"Iigp2","Th1/2"
"Th1vsMixed",0.000332150373728903,"Il11ra1","Th1/2"
"Th2vsMixed",0.0638147355051185,"Il11ra1","Th1/2"
"Th1vsMixed",0.165236688509932,"Il12rb2","Th1/2"
"Th2vsMixed",0.000113764072341156,"Il12rb2","Th1/2"
"Th1vsMixed",7.1769357970762e-07,"Il18r1","Th1/2"
"Th2vsMixed",0.0116663075476394,"Il18r1","Th1/2"
"Th1vsMixed",0.156609942242759,"Il18rap","Th1/2"
"Th2vsMixed",0.192521051651136,"Il18rap","Th1/2"
"Th1vsMixed",1.14808614949113e-07,"Il4","Th1/2"
"Th2vsMixed",0.734514197216047,"Il4","Th1/2"
"Th1vsMixed",0.013167644229039,"Il4ra","Th1/2"
"Th2vsMixed",0.33217911637847,"Il4ra","Th1/2"
"Th1vsMixed",0.000512070899327187,"Inpp5a.1","Th1/2"
"Th2vsMixed",0.136577156790102,"Inpp5a.1","Th1/2"
"Th1vsMixed",0.000299563239530535,"Irf7","Th1/2"
"Th2vsMixed",0.0246321622853505,"Irf7","Th1/2"
"Th1vsMixed",0.000341452905049681,"Irf9","Th1/2"
"Th2vsMixed",0.520324166662567,"Irf9","Th1/2"
"Th1vsMixed",0.0948903765649932,"Irf9.1","Th1/2"
"Th2vsMixed",0.49339493518428,"Irf9.1","Th1/2"
"Th1vsMixed",0.0148659418205586,"Irgm","Th1/2"
"Th2vsMixed",0.0195848552340555,"Irgm","Th1/2"
"Th1vsMixed",0.0105512368858432,"Isg20","Th1/2"
"Th2vsMixed",0.213408188301935,"Isg20","Th1/2"
"Th1vsMixed",0.421187526808175,"Itpr1","Th1/2"
"Th2vsMixed",0.000641668997352548,"Itpr1","Th1/2"
"Th1vsMixed",0.0243687132680725,"Kbtbd7.2","Th1/2"
"Th2vsMixed",0.451013051342737,"Kbtbd7.2","Th1/2"
"Th1vsMixed",5.3190189515267e-05,"Klk8","Th1/2"
"Th2vsMixed",0.151315702694886,"Klk8","Th1/2"
"Th1vsMixed",5.40754728622848e-06,"Klrd1","Th1/2"
"Th2vsMixed",0.00623529187249159,"Klrd1","Th1/2"
"Th1vsMixed",0.0657726828610903,"Klrk1.3","Th1/2"
"Th2vsMixed",0.223703854411131,"Klrk1.3","Th1/2"
"Th1vsMixed",1.87270049511702e-05,"Ldhd","Th1/2"
"Th2vsMixed",0.516207893310527,"Ldhd","Th1/2"
"Th1vsMixed",0.000930084058952827,"Lgals3","Th1/2"
"Th2vsMixed",0.0406304599323367,"Lgals3","Th1/2"
"Th1vsMixed",0.00320430539033478,"Lgals3bp","Th1/2"
"Th2vsMixed",0.32362378757495,"Lgals3bp","Th1/2"
"Th1vsMixed",0.0289204969630149,"Lif.1","Th1/2"
"Th2vsMixed",0.137237136844852,"Lif.1","Th1/2"
"Th1vsMixed",0.233760487759566,"LOC435565","Th1/2"
"Th2vsMixed",0.00579511420657144,"LOC435565","Th1/2"
"Th1vsMixed",0.00152295598303081,"LOC625360","Th1/2"
"Th2vsMixed",0.0174542674819679,"LOC625360","Th1/2"
"Th1vsMixed",0.0283064527786342,"Lrrk1.1","Th1/2"
"Th2vsMixed",0.000590333336646977,"Lrrk1.1","Th1/2"
"Th1vsMixed",0.0576953049868465,"Ltbp1.4","Th1/2"
"Th2vsMixed",0.421190143830429,"Ltbp1.4","Th1/2"
"Th1vsMixed",0.215876762485248,"Ly6a","Th1/2"
"Th2vsMixed",8.632419258518e-07,"Ly6a","Th1/2"
"Th1vsMixed",0.325364452223251,"Ly6c1","Th1/2"
"Th2vsMixed",5.08666215133618e-07,"Ly6c1","Th1/2"
"Th1vsMixed",0.00263889475576024,"Ly9","Th1/2"
"Th2vsMixed",0.270723640914847,"Ly9","Th1/2"
"Th1vsMixed",0.140560618558931,"Mapre2","Th1/2"
"Th2vsMixed",0.0585258530447285,"Mapre2","Th1/2"
"Th1vsMixed",0.000736710976142148,"Marcks","Th1/2"
