"ftest","pvalue","gene","model"
"Th2vsMixed",0.0285310990427823,"5730593F17Rik","Th1/2"
"Th1vsMixed",0.00589165914096418,"5730596K20Rik","Th1/2"
"Th2vsMixed",0.571083619248519,"5730596K20Rik","Th1/2"
"Th1vsMixed",0.00119007941065661,"5730596K20Rik.1","Th1/2"
"Th2vsMixed",0.445374781004965,"5730596K20Rik.1","Th1/2"
"Th1vsMixed",0.000584401119225971,"5730596K20Rik.3","Th1/2"
"Th2vsMixed",0.464935355152151,"5730596K20Rik.3","Th1/2"
"Th1vsMixed",0.0599675847108029,"5830405N20Rik","Th1/2"
"Th2vsMixed",0.00846268569898594,"5830405N20Rik","Th1/2"
"Th1vsMixed",0.543714137367296,"5830415L20Rik","Th1/2"
"Th2vsMixed",0.155828631098857,"5830415L20Rik","Th1/2"
"Th1vsMixed",0.600392055007707,"5830427D03Rik","Th1/2"
"Th2vsMixed",0.607640403819056,"5830427D03Rik","Th1/2"
"Th1vsMixed",0.0271708926239966,"5830434P21Rik","Th1/2"
"Th2vsMixed",0.0479491438180224,"5830434P21Rik","Th1/2"
"Th1vsMixed",0.510691158376042,"5830482F20Rik","Th1/2"
"Th2vsMixed",0.338628453350576,"5830482F20Rik","Th1/2"
"Th1vsMixed",0.00372248995940365,"6030408C04Rik","Th1/2"
"Th2vsMixed",0.831591416585959,"6030408C04Rik","Th1/2"
"Th1vsMixed",0.00023675812187297,"6030408C04Rik.1","Th1/2"
"Th2vsMixed",0.40327581322579,"6030408C04Rik.1","Th1/2"
"Th1vsMixed",0.00975435038982721,"6030408C04Rik.2","Th1/2"
"Th2vsMixed",0.443515290120356,"6030408C04Rik.2","Th1/2"
"Th1vsMixed",0.0681946382916175,"6230416J20Rik","Th1/2"
"Th2vsMixed",0.0307227319009228,"6230416J20Rik","Th1/2"
"Th1vsMixed",4.57678991859431e-05,"6330416G13Rik","Th1/2"
"Th2vsMixed",0.607999022690251,"6330416G13Rik","Th1/2"
"Th1vsMixed",0.158645076127993,"6330442E10Rik.1","Th1/2"
"Th2vsMixed",0.195945166818044,"6330442E10Rik.1","Th1/2"
