"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"114","BC094916.1",0.270792809971311,0.812303947758354,0.00398095951343099,2.55074955104707e-06,0.0345279260768866,6.77108062641586e-05,"sig","sig","Superpos","Th1/2"
"115","Bcl2.1",0.318557644305895,0.59682048653907,0.0453798204025197,0.00609096954692262,0.146079385219839,0.0117267897211082,"ns","sig","Th2like","Th1/2"
"116","Bmpr1a",0.100796061303,0.850862616794807,0.705356942088663,0.000880278287751401,0.817318361467816,0.00252827468875484,"ns","sig","Th2like","Th1/2"
"117","Bmpr1a.1",0.916139772559107,0.424631919284066,0.0110694414193997,0.0381382205414076,0.0626703819979417,0.0540600019324807,"ns","ns","Ind","Th1/2"
"118","Brp16.1",0.553310403795014,0.425803929106652,0.0199144441768514,0.0289425380016099,0.0916300466413587,0.0433395953665133,"ns","sig","Th2like","Th1/2"
"119","Bst2",0.310651641992574,0.247547415092311,0.146992048364806,0.607434628139787,0.302771827829906,0.635702337462484,"ns","ns","Ind","Th1/2"
"120","Btk",0.173087784694394,0.935462850711447,0.0860228885974588,0.000327178056075093,0.214292185322693,0.00128523756556853,"ns","sig","Th2like","Th1/2"
"121","Btla",0.0493067843960762,0.967654395752562,0.893141269319381,0.00028763809762383,0.925592477524599,0.00118296231698815,"ns","sig","Th2like","Th1/2"
"122","Bzrap1",0.663190577316182,0.42597551114241,0.000609023893389623,1.65477816845655e-05,0.0130123153807149,0.000188853139552917,"sig","sig","Superpos","Th1/2"
"123","Bzw2",0.339971279860804,0.659802398803272,0.179892792266204,0.0033455915369387,0.346343046209219,0.0070962183689063,"ns","sig","Th2like","Th1/2"
"124","C030048B08Rik",0.222728976617999,0.659190433436009,0.269982691505474,0.0203363293895133,0.442703722934382,0.0323314420058324,"ns","sig","Th2like","Th1/2"
"125","C030048B08Rik.1",0.304034949029094,0.676971850535396,0.230379350430735,0.0703574042969669,0.399609121284303,0.0906368914178574,"ns","ns","Ind","Th1/2"
"126","C1qdc2",0.207583935704224,0.723493164834769,0.478483448427819,0.00102796228664251,0.637977931237092,0.00284966760474316,"ns","sig","Th2like","Th1/2"
"127","C730027P07Rik",-1.95553062574544,0.833293334007359,0.0307499028218794,3.29134207966847e-05,0.118144363473537,0.000266964413128665,"ns","sig","Th2like","Th1/2"
"128","Capsl",0.226556004231464,0.891741640668641,0.128029364239845,0.000185812435064443,0.279685094947891,0.000889462803915039,"ns","sig","Th2like","Th1/2"
"129","Car11",0.92422346599609,-0.00693752641444782,5.48218552739165e-06,0.951032750273429,0.000686056360285012,0.954300904054437,"sig","ns","Th1like","Th1/2"
"130","Car13",0.0102245524649133,1.05210674299706,0.796905474573545,1.01941096307947e-06,0.870435406142675,3.8826261028592e-05,"ns","sig","Th2like","Th1/2"
"131","Car5b",0.179743092746867,0.306996920934116,0.0939864822547016,0.0770985050085913,0.226187248503073,0.0980379977011696,"ns","ns","Ind","Th1/2"
"132","Car5b.1",0.0526828150920393,0.332992005641988,0.518094375116946,0.0158335751074562,0.668410416203895,0.0262196820304946,"ns","sig","Th2like","Th1/2"
"133","Car5b.2",0.19342985586177,0.32902979345162,0.000109686197888917,2.64662823393323e-05,0.00493295317799516,0.000254690269302086,"sig","sig","Superpos","Th1/2"
"134","Casp1",0.480719857618829,0.733087703188607,0.00320995566801004,0.0101971185231948,0.0299140549486893,0.0179731907974218,"sig","sig","Superpos","Th1/2"
"135","Casp3",-0.0661265375115262,0.67936274797261,0.897233483265316,0.0474707165170326,0.925592477524599,0.0646723913980102,"ns","ns","Ind","Th1/2"
"136","Casp4.1",-0.284537785149557,1.92946217506622,0.210486355046652,0.00138708543876221,0.376964038795501,0.00346178588135526,"ns","sig","Th2like","Th1/2"
"137","Casp6",0.0499507954743937,1.28921495010493,0.824496221288596,0.00149930307489873,0.890931432347204,0.00369968871439799,"ns","sig","Th2like","Th1/2"
"138","Casp6.1",-0.100753607538413,1.43633322121955,0.594167834443095,0.000752883863055846,0.731026717657516,0.00227422849667904,"ns","sig","Th2like","Th1/2"
"139","Ccdc18.1",-0.0680682246829382,0.919964766509994,0.793688005171328,0.0196162670315113,0.868778962149494,0.0313573903642407,"ns","sig","Th2like","Th1/2"
"140","Ccdc28b",-0.379098252724037,0.700976415073239,0.157471567785194,0.00174225527179437,0.320058221298909,0.00418141265230649,"ns","sig","Th2like","Th1/2"
"141","Ccdc28b.1",0.112806802663187,0.436455977158118,0.729313445705751,0.0367230921437415,0.836067626315632,0.0526504561668045,"ns","ns","Ind","Th1/2"
"142","Ccdc50",0.141747847520821,0.728460894421144,0.609574524895841,0.0533771884357277,0.745792295822286,0.0712780748013681,"ns","ns","Ind","Th1/2"
"143","Ccdc50.1",-0.0805783566236955,0.922565036546919,0.76648372221708,0.0174907948572751,0.847777450331013,0.0286391332616318,"ns","sig","Th2like","Th1/2"
"144","Ccl3",0.0635604367042182,1.01542427821371,0.194184780935865,5.37116612488315e-06,0.356958204668988,9.93007262523211e-05,"ns","sig","Th2like","Th1/2"
"145","Ccl4.1",0.093097478209733,0.945146825531661,0.359066306105283,0.000314650334718782,0.53402730755217,0.00124941666059655,"ns","sig","Th2like","Th1/2"
"146","Ccl5",0.29396916604806,0.722604486162149,0.0973748135422721,0.0301118287791236,0.231794393106061,0.0446327614391071,"ns","sig","Th2like","Th1/2"
"147","Ccr5",0.291251068977439,0.328682534157935,0.000138271826563391,0.199909409296079,0.00526635304650133,0.23349419005782,"sig","ns","Th1like","Th1/2"
"148","Ccr5.1",0.351332501610638,0.951380510183443,2.6103726156829e-05,0.00817351251172577,0.00207880582848929,0.0149166603338995,"sig","sig","Superpos","Th1/2"
"149","Ccr5.2",0.405294862263943,0.783239189253095,0.000152447305318325,0.00822049033962033,0.00534175357835411,0.0149712048596828,"sig","sig","Superpos","Th1/2"
"150","Ccrl2",0.126189405621616,0.691372373503699,0.110926931381023,0.0165673540081806,0.253052062212959,0.0272800791563275,"ns","sig","Th2like","Th1/2"
"151","Cd164",0.200462055458991,0.779518976513064,0.506380887672003,0.00123580721390409,0.660621226364437,0.00323923361243568,"ns","sig","Th2like","Th1/2"
"152","Cd1d1",0.442879252710359,0.679274075641118,0.00525715501279994,0.00059747476826349,0.0407545822231217,0.00191717178387845,"sig","sig","Superpos","Th1/2"
"153","Cd27",0.525368239232684,0.432074646277836,6.52448453287315e-05,7.3597331426846e-05,0.00439649880830529,0.000474053399484685,"sig","sig","Superpos","Th1/2"
"154","Cd27.1",0.699450469462537,0.224148939165554,0.145937798040123,0.520378606691346,0.301512997837613,0.555239536494055,"ns","ns","Ind","Th1/2"
"155","Cd27.2",0.585940238931066,0.339508520635338,0.000217891400955323,0.00163579426313383,0.00658182300816769,0.00400266976118781,"sig","sig","Superpos","Th1/2"
"156","Cd44.5",0.936983792402015,0.211588088737095,0.06545445497559,0.706030406364902,0.185014733433022,0.727626630559593,"ns","ns","Ind","Th1/2"
"157","Cd6.1",0.0246787061924182,0.6609818408994,0.890156629802971,0.000346583967915006,0.925592477524599,0.00132003285171107,"ns","sig","Th2like","Th1/2"
"158","Cd70",0.264018146007835,0.396190019656527,0.108941238899631,0.254858683658386,0.250479068966081,0.290698186047847,"ns","ns","Ind","Th1/2"
"159","Cd74",0.498334754960234,0.462033637895419,0.0300604051406419,0.140713101758048,0.116182775171596,0.168624729329754,"ns","ns","Ind","Th1/2"
"160","Cd74.2",0.458769696839535,0.490606356964486,0.0257645170632602,0.0746538350054649,0.105961112429183,0.0951917896139552,"ns","ns","Ind","Th1/2"
"161","Cd79b",0.662517340255919,0.221160018796268,0.00801555815091284,0.375656384023893,0.0520252338853716,0.413930808056516,"ns","ns","Ind","Th1/2"
"162","Cd79b.1",0.590451542665652,0.297095241137132,0.0179843082887971,0.258950170744744,0.086660387427164,0.294980948728733,"ns","ns","Ind","Th1/2"
"163","Cd80",0.102694291278312,0.799330639509645,0.185774090179918,0.000763291179165763,0.351486183580147,0.00228987353749729,"ns","sig","Th2like","Th1/2"
"164","Cd86",-0.0751251852583382,1.0196566844204,0.50330828705737,7.85729614582116e-07,0.659520995990602,3.2776149636854e-05,"ns","sig","Th2like","Th1/2"
"165","Cd86.1",0.0202643860791591,1.02335428385316,0.843239358738143,2.52728506363206e-06,0.90075310209497,6.77108062641586e-05,"ns","sig","Th2like","Th1/2"
"166","Cd86.2",0.0352261433126792,0.956782072031218,0.63144245879536,4.76131210982215e-08,0.758860023621589,1.04412029962725e-05,"ns","sig","Th2like","Th1/2"
"167","Cdc42se1.1",0.283760632453952,0.819553587191841,0.110053791432855,0.000232922960540299,0.251715721397339,0.00105720473281504,"ns","sig","Th2like","Th1/2"
"168","Cdk6",-0.128442628211648,1.07971938945792,0.671934100331198,0.00386206847400315,0.790086270993462,0.0079967285738009,"ns","sig","Th2like","Th1/2"
"169","Cenpf",-0.31458575923035,1.09457849744712,0.401619117213313,0.0125967780800706,0.565208840714607,0.0217626991694825,"ns","sig","Th2like","Th1/2"
"170","Cep72",0.0771461116251916,0.767738019846519,0.739297799199868,0.00165801197628456,0.836694703514779,0.0040386479408446,"ns","sig","Th2like","Th1/2"
"171","Cercam",0.174779322309183,0.789554645713306,0.309292278166383,0.000236308860363923,0.480429919302962,0.00106359033210627,"ns","sig","Th2like","Th1/2"
