Unnamed: 0,gene,beta_th1,beta_th2,p_th1,p_th2,padj_th1,padj_th2,th1_sig,th2_sig,category,model,angle,clust_new
364,Iigp2,-0.0494245585090145,0.0673570204924228,0.929735129757374,0.69206450595978,0.937055878810582,0.824039597793971,ns,ns,Ind,Th0,2.2038290388767225,Superpos
365,Il11ra1,0.4847441128834097,0.0025291462356161,0.000302973443612,0.972407899668126,0.000692510728256,0.983938428122689,sig,ns,Th1like,Th0,0.005217439921710092,Th1like
366,Il12rb2,0.2574169986446547,0.2040819513252245,5.04521976049655e-05,0.226682478758061,0.0002152627097811,0.46687795535729,sig,ns,Th1like,Th0,0.6703394390228545,Superpos
367,Il18r1,0.4446854551964743,0.0726908441662814,1.95772120418305e-06,0.0145162742856962,4.43578181845028e-05,0.0884801480271006,sig,ns,Th1like,Th0,0.16203267062208446,Th1like
368,Il18rap,0.2915057002588362,0.2599449763465399,0.0005152224370898,0.559888346399164,0.0011083776797899,0.742596253738561,sig,ns,Th1like,Th0,0.728228350158101,Superpos
369,Il4,0.2958629068572083,0.0224571047157994,0.0048228647212887,0.453172464331643,0.0073491271943447,0.678433630812284,sig,ns,Th1like,Th0,0.07575848375499508,Th1like
370,Il4ra,0.4289272245717654,-0.0184910583424124,0.0122931250828146,0.750286945707573,0.0163908334437528,0.854206452348423,sig,ns,Th1like,Th0,-0.04308333673979404,Th1like
371,Inpp5a.1,0.5306264643756887,0.0061644045299824,0.0008049605695019,0.889898145092933,0.0015730527159732,0.952910667277625,sig,ns,Th1like,Th0,0.011616697716109283,Th1like
372,Irf7,0.6832257155856943,-0.050239883039707,8.29054937596837e-06,0.494487680083759,7.57993085802822e-05,0.70568329041377,sig,ns,Th1like,Th0,-0.07340125368193459,Th1like
373,Irf9,1.0,-0.1569313368492838,1.10689784983e-05,0.0140373933741743,8.85518279864e-05,0.0876481147265517,sig,ns,Th1like,Th0,-0.1556617717936409,Th1like
374,Irf9.1,0.7315291307694783,-0.0108538761845517,0.0051018077441426,0.931410278336603,0.0076979637383337,0.96927248477305,sig,ns,Th1like,Th0,-0.01483615533821338,Th1like
375,Irgm,-0.0535881771863768,-0.1302996378017077,0.873820729256636,0.190763584483643,0.884182239880232,0.420995496791488,ns,ns,Ind,Th0,-1.9609792921674862,Th2like
376,Isg20,0.6859672222820409,-0.1285865836564981,9.41378632501936e-06,0.279545644798417,8.03309766401652e-05,0.530101370876998,sig,ns,Th1like,Th0,-0.18530250349909264,Th1like
377,Itpr1,0.3456275585941827,0.1169208668342344,0.0016642296291162,0.156737180735273,0.0028982502384609,0.38581459873298,sig,ns,Th1like,Th0,0.326201059023787,Th1like
378,Kbtbd7.2,0.5694378321599788,-0.1429523087178799,2.77634210961782e-05,0.041113796274247,0.0001579691847963,0.157091520092645,sig,ns,Th1like,Th0,-0.24595829645179776,Th1like
379,Klrd1,0.1923059937519524,0.2343470284337265,0.0015156879514997,0.0001504510937261,0.0026576446272872,0.0045414786286202,sig,sig,Superpos,Th0,0.8836179200417449,Superpos
380,Klrk1.3,0.2900842085304193,0.4857857107512537,0.0047232330154966,0.166825760841748,0.0072404051015996,0.396213480763465,sig,ns,Th1like,Th0,1.0324791904157111,Superpos
381,Ldhd,0.2927401507726145,0.2307374333872272,0.0682985555744113,0.0201186269804767,0.079308033058543,0.103007370140041,ns,ns,Ind,Th0,0.6675035462785857,Superpos
382,Lgals3,0.1958993986908707,0.2647799869932424,0.0012843078586279,0.0398751248459475,0.0023653439698471,0.155781833506521,sig,ns,Th1like,Th0,0.9338182296002133,Superpos
383,Lgals3bp,0.7444125293528636,-0.0258354972242614,3.57602135062852e-05,0.702067486762462,0.0001742611864999,0.826908418280275,sig,ns,Th1like,Th0,-0.03469196279741511,Th1like
384,Lif.1,-0.036027887737734,0.3319577094444731,0.801322937984566,0.0030893902267015,0.817285546310952,0.0371766170163613,ns,sig,Th2like,Th0,1.6789047377336783,Th2like
385,LOC435565,0.6411731483426019,0.9002456818467758,1.07490587278377e-05,0.0228216284716655,8.85518279864e-05,0.110232771485781,sig,ns,Th1like,Th0,0.9519158911018077,Superpos
386,LOC625360,0.5586688780929555,0.0239925772549705,9.02538257631832e-07,0.538938834807267,3.85082989922915e-05,0.733874158035427,sig,ns,Th1like,Th0,0.04291959729426589,Th1like
387,Lrrk1.1,0.1374581774846734,0.0010982575834335,0.0194462232813192,0.993812405457834,0.0245233160592006,0.999070185063546,sig,ns,Th1like,Th0,0.007989588068765709,Th1like
388,Ltbp1.4,-0.2411164736108782,0.2668030096545911,0.541418227619744,4.90781910501284e-05,0.570382988768125,0.0041880056362776,ns,sig,Th2like,Th0,2.3056654745277423,Superpos
389,Ly6a,0.4677590935100822,-0.3552424201877148,1.74834664496952e-05,0.0244058706725114,0.0001243268725311,0.113139595673821,sig,ns,Th1like,Th0,-0.6495254908626522,Superpos
390,Ly6c1,0.477226458235831,0.2351318926857036,7.80708014235977e-07,0.0519906634420013,3.85082989922915e-05,0.187459293537357,sig,ns,Th1like,Th0,0.45779464811602316,Superpos
391,Mapre2,0.3299446241518843,0.0818604629892565,0.0140314219781466,0.557492709794442,0.0184613294993823,0.742596253738561,sig,ns,Th1like,Th0,0.24319306098032262,Th1like
392,Marcks,0.4673055048930892,-0.0110245155752709,0.0030902460698458,0.851640739438931,0.0050711730376958,0.935708280241916,sig,ns,Th1like,Th0,-0.0235872910756532,Th1like
393,Matk.1,0.3471673596735549,0.1375094288982846,5.27481055400699e-06,0.0004378905401261,5.15387565142957e-05,0.0101909071156629,sig,sig,Superpos,Th0,0.3771309239532257,Th1like
394,Matk.2,0.3704616845216071,0.1577636741480289,0.0002368108923739,0.0041490366511005,0.0005665755929693,0.0393390141733974,sig,sig,Superpos,Th0,0.40259624746447825,Superpos
395,Mef2c.2,0.5669843398602831,-0.0233925362447048,0.000107625888688,0.704164199941797,0.0003444028438016,0.826908418280275,sig,ns,Th1like,Th0,-0.04123443128366134,Th1like
396,Mgll,0.3053937563373949,-0.0500258506636107,0.0014255812664486,0.0069534853697542,0.0025520895399359,0.0508597787044881,sig,ns,Th1like,Th0,-0.1623657029430229,Th1like
397,Mgll.2,0.4591389380167547,-0.0838582590256141,0.0040094241241484,0.0088804000802462,0.0062970096673743,0.0595215749908217,sig,ns,Th1like,Th0,-0.1806512723186303,Th1like
398,Mitd1,0.6684108240407669,-0.0744647560648239,3.43796221091707e-06,0.225315298154694,4.63220171576195e-05,0.46687795535729,sig,ns,Th1like,Th0,-0.1109481790240275,Th1like
399,Morc3,0.4977552517130564,-0.0646733401731828,0.0088027953403784,0.483630421694841,0.0121811654439831,0.696207834007261,sig,ns,Th1like,Th0,-0.1292061674002747,Th1like
