,gene,Th1,Th2,category,model,angle,clust_new
1461,Pdlim4,0.0044429271664179,1.14409951621031,Ind,Th0,1.566913006532917,Th2like
1462,Pfn2,0.0612886567409594,0.460135343517401,Ind,Th0,1.4383787288026384,Th2like
1463,Pfn2.1,-0.140698315198193,0.546469698144565,Ind,Th0,1.8227910027387788,Th2like
1464,Phf11,0.964393749118443,0.233410385682911,Th1like,Th0,0.23746173888908764,Th1like
1465,Phf11.2,1.0128794459402,0.132604208345146,Th1like,Th0,0.13017769687230868,Th1like
1466,Phkg2,1.06361275239002,-0.200755918915396,Th1like,Th0,-0.18655432619051326,Th1like
1467,Phldb1,0.498278711580924,0.336026968255366,Th1like,Th0,0.5933205350510518,Superpos
1468,Phldb1.3,0.734189193775822,0.301355125640301,Th1like,Th0,0.389490770225253,Th1like
1469,Pigh.1,0.768787392616491,0.274888101538811,Th1like,Th0,0.34339440151979267,Th1like
1470,Pigz,0.999416907022459,0.0389369909592657,Th1like,Th0,0.0389400142445406,Th1like
1471,Pik3ap1,0.509763559032316,0.510379832972545,Th1like,Th0,0.7860022685360892,Superpos
1472,Pik3cg,0.451333772439332,0.514710522307467,Superpos,Th0,0.8509086799669604,Superpos
1473,Pim2.1,0.768316736188375,0.269828622841258,Th1like,Th0,0.3377385778849385,Th1like
1474,Pip5k1b,0.643690208528037,0.214936263473487,Th1like,Th0,0.3222717930733795,Th1like
1475,Pitpnm2,0.473256966916129,0.354906124669729,Ind,Th0,0.6434516109468198,Superpos
1476,Pkn3,1.40626492672283,-0.347493486218104,Th1like,Th0,-0.24225102874302779,Th1like
1477,Pkp2,-0.0804725294320077,0.744665804727897,Th2like,Th0,1.6784438783440294,Th2like
1478,Pkp2.1,-0.0369677635037317,0.721236320195765,Th2like,Th0,1.6220076144801487,Th2like
1479,Pkp2.2,0.0122680403177171,0.625109530395928,Th2like,Th0,1.5511734206587284,Th2like
1480,Pkp4.3,0.901497051964186,0.340203362477047,Th1like,Th0,0.3608521205135507,Th1like
1481,Pla1a,0.943048805692586,0.841383741339164,Th1like,Th0,0.7284863580140107,Superpos
1482,Pla2g4f,1.33344639551001,-0.707668682285927,Th1like,Th0,-0.4879099910454196,Superpos
1483,Plac8,0.866475009185271,0.991028400597666,Th1like,Th0,0.8523521284573085,Superpos
1484,Plcl2,2.24794269939181,-0.885085535670834,Ind,Th0,-0.37509072325065346,Th1like
1485,Plcxd1,0.233245482255022,0.554695370936538,Superpos,Th0,1.1727493926606842,Superpos
1486,Plcxd1.2,0.102627653372912,0.573291209898509,Th2like,Th0,1.3936577623654192,Th2like
1487,Pld4,0.557730227451568,0.379888989389605,Th1like,Th0,0.5979516485004778,Superpos
1488,Plek,1.06175846663468,-0.3473074335466,Th1like,Th0,-0.31613541146789603,Th1like
1489,Plekha8.1,0.891380916905084,-0.0376198678890514,Th1like,Th0,-0.0421790001272624,Th1like
1490,Plekhf1,0.0568120004894665,0.0956535377270442,Ind,Th0,1.0348481921836739,Superpos
1491,Pml,0.775002870619527,0.503673447418511,Th1like,Th0,0.5763040856565831,Superpos
1492,Polk,0.913970070824455,-0.0935699384683951,Th1like,Th0,-0.1020220194156408,Th1like
1493,Polr2d.1,0.582246213336153,0.314389601378517,Th1like,Th0,0.49510220853815695,Superpos
1494,Pon2,1.24567927326815,-0.0005569133057482,Th1like,Th0,-0.0004470759693884785,Th1like
1495,Ppap2c.1,0.184015030660319,0.55705756697164,Th2like,Th0,1.2517476352384607,Th2like
1496,Pparg,0.389731134535257,0.0685020485741393,Ind,Th0,0.17399021669864498,Th1like
1497,Pparg.2,0.221373745688852,-0.0033731959295656,Ind,Th0,-0.015236381752896997,Th1like
1498,Ppm1b,0.679733993459506,0.146883216935255,Ind,Th0,0.21281706205996745,Th1like
1499,Ppm1b.1,1.68039860959417,-0.637067209376501,Th1like,Th0,-0.3623749557396293,Th1like
1500,Ppme1,0.491571060229456,0.304944456020912,Ind,Th0,0.5552460792434661,Superpos
1501,Ppp1r1b.2,-0.0983840805008298,0.246506116837327,Ind,Th0,1.9505388111508957,Th2like
1502,Ppp3ca,1.07823742947414,-0.111105852897759,Th1like,Th0,-0.10268155559893467,Th1like
1503,Ppp3ca.2,1.07501976433148,-0.126313869456094,Th1like,Th0,-0.11696281661011744,Th1like
1504,Ppp3cc,0.923768940552881,-0.182759382397815,Th1like,Th0,-0.19531875092310685,Th1like
1505,Ppt1,1.10677019767283,-0.337677478208556,Th1like,Th0,-0.29613066412762273,Th1like
1506,Prdm16.1,0.522605260018747,0.349727869134091,Th1like,Th0,0.5897549668026278,Superpos
1507,Prdx4,0.483402049123963,0.481064025128848,Ind,Th0,0.7829740040851703,Superpos
1508,Prdx5.1,0.609488757198765,0.258114272458565,Th1like,Th0,0.40059358258927286,Superpos
1509,Prkar1b,0.674476476338561,0.559230746681013,Th1like,Th0,0.6922543020084572,Superpos
1510,Prkrip1.1,0.53614072962214,0.321458211708136,Th1like,Th0,0.5401091831246851,Superpos
1511,Prlr.2,1.16477211209494,0.0241108907967674,Th1like,Th0,0.020697136926739225,Th1like
1512,Prm1,0.59739631900513,0.186900095392832,Th1like,Th0,0.30321079830654873,Th1like
1513,Prm1.1,0.667820286990637,-0.223471780806224,Th1like,Th0,-0.3229158587281305,Th1like
1514,Pros1,1.16604091826868,-0.0814155779572628,Th1like,Th0,-0.06970909693066481,Th1like
1515,Prr11,0.208314679212776,0.614432830251187,Th2like,Th0,1.2439224306432952,Th2like
1516,Prr15,-0.12316042325143,0.349555801416581,Ind,Th0,1.909548993506428,Th2like
1517,Pscdbp,0.744453463063764,0.193106692614546,Th1like,Th0,0.2538002596828056,Th1like
1518,Psmb9,0.706871256212058,0.573679682319539,Ind,Th0,0.6817596741563985,Superpos
1519,Psrc1,0.649153669480643,0.0542038455534977,Ind,Th0,0.08330600359426417,Th1like
1520,Pter,0.930314220883751,0.165570316516956,Th1like,Th0,0.17612834323356225,Th1like
1521,Ptger2.1,0.876216685677839,0.178709097266083,Th1like,Th0,0.20119589004718846,Th1like
1522,Ptk2b,0.818617005985974,0.374118145561341,Th1like,Th0,0.4286701385200146,Superpos
1523,Ptpla,0.858794026850718,0.0536678627578959,Th1like,Th0,0.06241096457014981,Th1like
1524,Ptpn12,0.587960247049245,0.264271413817769,Ind,Th0,0.42241439426492683,Superpos
1525,Ptprk,0.299055966308336,0.281155860810507,Th1like,Th0,0.7545569621397342,Superpos
1526,Pxmp4,0.669120830253353,0.173192058023207,Th1like,Th0,0.2532767518277145,Th1like
1527,Pygl.1,0.649801553882176,0.550082994138662,Th1like,Th0,0.7024819112368862,Superpos
1528,R3hdm1.1,0.216736587136935,0.285163571582102,Ind,Th0,0.9208985975696911,Superpos
1529,R74862,0.63564646402895,0.0812558346357586,Ind,Th0,0.12714225433809576,Th1like
1530,Rab31,0.137316216958005,0.0337138047491476,Ind,Th0,0.24075726797354235,Th1like
1531,Rab33a,0.217150411819424,0.460543511868463,Superpos,Th0,1.1302001823240353,Superpos
1532,Rab6ip1,0.70287828172083,0.277562590869113,Ind,Th0,0.37609713281652996,Th1like
